[18:51:46] [INFO] received Windows console close event; shutting log-core down
[18:53:12] [INFO] received Windows console close event; shutting log-core down
[18:55:05] [INFO] received Windows console close event; shutting log-core down
[18:56:03] [INFO] received Windows console close event; shutting log-core down
[18:56:39] [INFO] received Windows console close event; shutting log-core down
[18:59:09] [INFO] received Windows console close event; shutting log-core down
[19:00:12] [INFO] received Windows console close event; shutting log-core down
[19:07:34] [INFO] received Windows console close event; shutting log-core down
[19:09:31] [INFO] received Windows console close event; shutting log-core down
[19:18:04] [INFO] received Windows console close event; shutting log-core down
[20:14:27] [INFO] received Windows console close event; shutting log-core down
[20:15:44] [INFO] received Windows console close event; shutting log-core down
[20:20:28] [INFO] received Windows console close event; shutting log-core down
[20:29:20] [INFO] received Windows console close event; shutting log-core down
[20:30:40] [INFO] received Windows console close event; shutting log-core down
[20:34:36] [INFO] received Windows console close event; shutting log-core down
[20:36:25] [INFO] received Windows console close event; shutting log-core down
[20:37:33] [INFO] received Windows console close event; shutting log-core down
[21:06:47] [INFO] received Windows console close event; shutting log-core down
[21:07:35] [INFO] received Windows console close event; shutting log-core down
[21:10:17] [INFO] received Windows console close event; shutting log-core down
[21:10:56] [INFO] received Windows console close event; shutting log-core down
[21:11:48] [INFO] received Windows console close event; shutting log-core down
[22:24:58] [INFO] received Windows console close event; shutting log-core down
[22:26:41] [INFO] received Windows console close event; shutting log-core down
[22:28:24] [INFO] received Windows console close event; shutting log-core down
[22:35:08] [INFO] received Windows console close event; shutting log-core down
[22:38:45] [INFO] received Windows console close event; shutting log-core down
[22:49:25] [INFO] received Windows console close event; shutting log-core down
[22:52:41] [INFO] received Windows console close event; shutting log-core down
[23:10:09] [INFO] received Windows console close event; shutting log-core down
[23:11:29] [INFO] received Windows console close event; shutting log-core down
[23:15:14] [INFO] received Windows console close event; shutting log-core down
[23:20:56] [INFO] received Windows console close event; shutting log-core down
[23:27:47] [INFO] received Windows console close event; shutting log-core down
[23:46:48] [INFO] received Windows console close event; shutting log-core down
[23:53:13] [INFO] received Windows console close event; shutting log-core down
[23:59:08] [INFO] received Windows console close event; shutting log-core down
[02:05:07] [INFO] received Windows console close event; shutting log-core down
[16:43:49] [INFO] received Windows console close event; shutting log-core down
[17:02:51] [INFO] received Windows console close event; shutting log-core down
[17:17:04] [INFO] received Windows console close event; shutting log-core down
[17:19:21] [INFO] received Windows console close event; shutting log-core down
[17:21:37] [INFO] received Windows console close event; shutting log-core down
[17:22:29] [INFO] received Windows console close event; shutting log-core down
[17:25:44] [INFO] received Windows console close event; shutting log-core down
[17:26:36] [INFO] received Windows console close event; shutting log-core down
[17:28:04] [INFO] received Windows console close event; shutting log-core down
[17:36:13] [INFO] received Windows console close event; shutting log-core down
[17:42:39] [INFO] received Windows console close event; shutting log-core down
[17:45:14] [INFO] received Windows console close event; shutting log-core down
[17:46:39] [INFO] received Windows console close event; shutting log-core down
[17:49:14] [INFO] received Windows console close event; shutting log-core down
[21:25:41] [INFO] received Windows console close event; shutting log-core down
[15:47:24] [INFO] received Windows console close event; shutting log-core down
[15:49:11] [INFO] received Windows console close event; shutting log-core down
[19:39:30] [INFO] received Windows console close event; shutting log-core down
[00:40:35] [INFO] received Windows console close event; shutting log-core down
[16:13:59] [INFO] received Windows console close event; shutting log-core down
[19:12:03] [INFO] received Windows console close event; shutting log-core down
[19:15:17] [INFO] received Windows console close event; shutting log-core down
[19:16:19] [INFO] received Windows console close event; shutting log-core down
[19:16:38] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:17:08] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:21:41] [INFO] received Windows console close event; shutting log-core down
[19:24:10] [INFO] received Windows console close event; shutting log-core down
[19:25:16] [INFO] received Windows console close event; shutting log-core down
[19:25:17] [INFO] received Windows console close event; shutting log-core down
[19:35:06] [INFO] received Windows console close event; shutting log-core down
[19:35:48] [INFO] received Windows console close event; shutting log-core down
[16:13:19] [INFO] received Windows console close event; shutting log-core down
[16:07:56] [INFO] received Windows console close event; shutting log-core down
[16:14:21] [INFO] received Windows console close event; shutting log-core down
[16:15:51] [INFO] received Windows console close event; shutting log-core down
[16:16:06] [INFO] received Windows console close event; shutting log-core down
[16:17:27] [INFO] received Windows console close event; shutting log-core down
[16:17:49] [INFO] received Windows console close event; shutting log-core down
[16:17:53] [INFO] received Windows console close event; shutting log-core down
[16:18:26] [INFO] received Windows console close event; shutting log-core down
[16:19:08] [INFO] received Windows console close event; shutting log-core down
[16:19:28] [INFO] received Windows console close event; shutting log-core down
[16:20:10] [INFO] received Windows console close event; shutting log-core down
[16:22:38] [INFO] received Windows console close event; shutting log-core down
[16:22:50] [INFO] received Windows console close event; shutting log-core down
[16:22:59] [INFO] received Windows console close event; shutting log-core down
[16:23:24] [INFO] received Windows console close event; shutting log-core down
[16:23:37] [INFO] received Windows console close event; shutting log-core down
[16:23:58] [INFO] received Windows console close event; shutting log-core down
[16:24:12] [INFO] received Windows console close event; shutting log-core down
[23:38:54] [INFO] received Windows console close event; shutting log-core down
[23:39:17] [INFO] received Windows console close event; shutting log-core down
[03:01:27] [INFO] received Windows console close event; shutting log-core down
[19:31:28] [INFO] received Windows console close event; shutting log-core down
[19:34:13] [INFO] received Windows console close event; shutting log-core down
[19:53:41] [INFO] received Windows console close event; shutting log-core down
[19:56:12] [INFO] received Windows console close event; shutting log-core down
[19:57:13] [INFO] received Windows console close event; shutting log-core down
[19:58:28] [INFO] received Windows console close event; shutting log-core down
[19:59:21] [INFO] received Windows console close event; shutting log-core down
[21:17:48] [INFO] received Windows console close event; shutting log-core down
[21:21:33] [INFO] received Windows console close event; shutting log-core down
[21:28:48] [INFO] received Windows console close event; shutting log-core down
[21:30:04] [INFO] received Windows console close event; shutting log-core down
[21:31:15] [INFO] received Windows console close event; shutting log-core down
[21:32:46] [INFO] received Windows console close event; shutting log-core down
[21:33:56] [INFO] received Windows console close event; shutting log-core down
[21:35:08] [INFO] received Windows console close event; shutting log-core down
[21:44:08] [INFO] received Windows console close event; shutting log-core down
[22:00:36] [INFO] received Windows console close event; shutting log-core down
[22:02:15] [INFO] received Windows console close event; shutting log-core down
[22:03:49] [INFO] received Windows console close event; shutting log-core down
[22:05:09] [INFO] received Windows console close event; shutting log-core down
[22:06:03] [INFO] received Windows console close event; shutting log-core down
[22:06:59] [INFO] received Windows console close event; shutting log-core down
[22:08:17] [INFO] received Windows console close event; shutting log-core down
[22:09:52] [INFO] received Windows console close event; shutting log-core down
[22:10:54] [INFO] received Windows console close event; shutting log-core down
[22:20:33] [INFO] received Windows console close event; shutting log-core down
